English Word	Valence	Arousal	Dominance	Gujarati Word
aaaaaaah	0.479	0.606	0.291	અઆઆઆહ
aaaah	0.520	0.636	0.282	આહ
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	આશ્ચર્યચકિત
abacus	0.510	0.276	0.485	અબેકસ
abalone	0.500	0.480	0.412	અબાલોન
abandon	0.052	0.519	0.245	છોડી દેવું
abandoned	0.046	0.481	0.130	ત્યજી દેવાયું
abandonment	0.128	0.430	0.202	ત્યાગ
abashed	0.177	0.644	0.307	શરમજનક
abate	0.255	0.696	0.604	ઘટાડો
abatement	0.388	0.338	0.336	ઘટાડો
abba	0.562	0.500	0.480	અબ્બા
abbey	0.580	0.367	0.444	એબી
abbot	0.427	0.321	0.483	મઠાધિપતિ
abbreviate	0.531	0.375	0.330	સંક્ષિપ્ત
abbreviation	0.469	0.306	0.345	સંક્ષેપ
abdomen	0.469	0.462	0.471	પેટ
abdominal	0.490	0.456	0.445	પેટની
abduct	0.173	0.720	0.615	અપહરણ
abduction	0.062	0.990	0.673	અપહરણ
aberrant	0.146	0.765	0.431	વિચલિત
aberration	0.125	0.816	0.417	વિકૃતિ
abeyance	0.330	0.510	0.292	ત્યાગ
abhor	0.125	0.602	0.349	તિરસ્કાર
abhorrence	0.167	0.684	0.420	તિરસ્કાર
abhorrent	0.229	0.750	0.474	ઘૃણાસ્પદ
abide	0.635	0.354	0.705	પાલન
abiding	0.796	0.327	0.750	પાલન
ability	0.875	0.510	0.816	ક્ષમતા
abject	0.354	0.590	0.417	અપમાનજનક
ablation	0.418	0.500	0.500	વિસર્જન
ablaze	0.240	0.847	0.525	સળગવું
able	0.786	0.500	0.810	સક્ષમ
abnormal	0.137	0.604	0.309	અસામાન્ય
abnormality	0.092	0.655	0.383	અસાધારણતા
aboard	0.698	0.284	0.481	વહાણમાં
abode	0.620	0.302	0.500	રહેઠાણ
abolish	0.448	0.615	0.529	નાબૂદ
abolition	0.323	0.690	0.529	નાબૂદી
abominable	0.120	0.731	0.482	ઘૃણાસ્પદ
abominate	0.198	0.788	0.366	ઘૃણાસ્પદ
abomination	0.078	0.755	0.518	ઘૃણા
aboriginal	0.448	0.427	0.542	આદિવાસી
abort	0.153	0.686	0.429	ગર્ભપાત
abortion	0.082	0.770	0.283	ગર્ભપાત
abortive	0.090	0.776	0.280	નિષ્ક્રિય
abound	0.704	0.490	0.681	ભરપૂર
abovementioned	0.541	0.298	0.509	ઉપર ઉલ્લેખ કર્યો છે
abracadabra	0.673	0.632	0.434	અબ્રાકાડાબ્રા
abrasion	0.406	0.592	0.441	ઘર્ષણ
abrasive	0.392	0.610	0.593	ઘર્ષક
abreast	0.635	0.380	0.519	નજીકમાં
abroad	0.677	0.596	0.561	વિદેશમાં
abrogate	0.327	0.510	0.594	રદ કરવું
abrupt	0.271	0.819	0.545	અચાનક
abruptly	0.250	0.808	0.556	અચાનક
abscess	0.154	0.451	0.349	ફોલ્લો
absence	0.153	0.235	0.266	ગેરહાજરી
absent	0.177	0.221	0.116	ગેરહાજર
absentee	0.235	0.330	0.279	ગેરહાજર
absenteeism	0.404	0.273	0.357	ગેરહાજરી
absinthe	0.481	0.510	0.462	એબ્સિન્થે
absolute	0.526	0.510	0.827	સંપૂર્ણ
absolution	0.715	0.500	0.664	મુક્તિ
absolve	0.684	0.449	0.660	મુક્તિ
absorb	0.469	0.558	0.670	શોષી લેવું
absorbed	0.490	0.471	0.519	શોષાય છે
absorbent	0.552	0.394	0.718	શોષક
absorbing	0.490	0.490	0.578	શોષક
absorption	0.609	0.422	0.446	શોષણ
abstain	0.385	0.385	0.427	દૂર રહેવું
abstention	0.271	0.264	0.509	ત્યાગ
abstinence	0.260	0.392	0.429	ત્યાગ
abstract	0.438	0.292	0.444	અમૂર્ત
abstraction	0.469	0.439	0.525	અમૂર્ત
absurd	0.188	0.656	0.284	વાહિયાત
absurdity	0.115	0.528	0.227	વાહિયાતતા
abundance	0.812	0.690	0.852	વિપુલતા
abundant	0.958	0.590	0.760	પુષ્કળ
abuse	0.071	0.873	0.469	ગા ળ
abused	0.021	0.874	0.235	દુરુપયોગ
abusive	0.125	0.903	0.567	અપમાનજનક
abutment	0.500	0.265	0.616	એબ્યુટમેન્ટ
aby	0.385	0.452	0.368	અબી
abysmal	0.250	0.710	0.598	અતિશય
abyss	0.353	0.725	0.296	પાતાળ
academic	0.781	0.420	0.812	શૈક્ષણિક
academy	0.704	0.473	0.792	અકાદમી
accede	0.698	0.510	0.537	સ્વીકાર
accelerant	0.643	0.844	0.802	પ્રવેગક
accelerate	0.615	0.902	0.759	વેગ આપો
accelerated	0.610	0.812	0.682	ઝડપી
acceleration	0.704	0.905	0.843	પ્રવેગ
accelerator	0.593	0.830	0.812	પ્રવેગક
accent	0.598	0.357	0.509	ઉચ્ચાર
accentuate	0.673	0.556	0.667	ભાર મૂકવો
accept	0.847	0.286	0.565	સ્વીકારો
acceptable	0.812	0.286	0.583	સ્વીકાર્ય
acceptance	0.833	0.287	0.755	સ્વીકૃતિ
acceptances	0.847	0.413	0.648	સ્વીકૃતિઓ
access	0.714	0.472	0.567	ઍક્સેસ
accessible	0.796	0.410	0.645	સુલભ
accession	0.612	0.383	0.636	પ્રવેશ
accessory	0.562	0.292	0.445	સહાયક
accident	0.125	0.908	0.336	અકસ્માત
accidental	0.319	0.784	0.307	આકસ્મિક
accidentally	0.333	0.741	0.333	આકસ્મિક રીતે
acclaim	0.562	0.809	0.718	વખાણ
accolade	0.688	0.591	0.775	વખાણ
accommodate	0.844	0.375	0.566	સમાવવા
accommodation	0.817	0.415	0.587	આવાસ
accompaniment	0.740	0.479	0.695	સાથ
accompany	0.833	0.406	0.585	સાથ
accompanying	0.787	0.460	0.582	સાથે
accomplice	0.408	0.580	0.510	સાથી
accomplish	0.929	0.673	0.816	પરિપૂર્ણ
accomplished	0.870	0.520	0.798	પરિપૂર્ણ
accomplishment	0.917	0.694	0.888	સિદ્ધિ
accord	0.898	0.264	0.382	સમજૂતી
accordance	0.659	0.349	0.600	અનુસાર
accordion	0.604	0.490	0.361	એકોર્ડિયન
account	0.531	0.347	0.472	એકાઉન્ટ
accountability	0.755	0.537	0.833	જવાબદારી
accountable	0.709	0.282	0.777	જવાબદાર
accountant	0.625	0.450	0.639	એકાઉન્ટન્ટ
accounting	0.552	0.390	0.677	નામું
accounts	0.592	0.340	0.471	એકાઉન્ટ્સ
accredited	0.669	0.479	0.768	માન્યતા પ્રાપ્ત
accretion	0.448	0.519	0.672	વૃદ્ધિ
accrue	0.520	0.481	0.602	મેળવવું
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	એકઠા કરવું
accumulation	0.479	0.527	0.600	સંચય
accuracy	0.604	0.481	0.802	ચોકસાઈ
accurate	0.743	0.360	0.737	ચોક્કસ
accursed	0.135	0.745	0.345	શાપિત
accusation	0.073	0.718	0.564	આરોપ
accusative	0.198	0.755	0.482	આક્ષેપાત્મક
accuse	0.133	0.752	0.500	આરોપ
accused	0.130	0.670	0.420	આરોપી
accuser	0.122	0.779	0.615	આક્ષેપ કરનાર
accusing	0.156	0.745	0.324	આરોપ મૂકે છે
accustomed	0.542	0.365	0.441	ટેવાયેલું
ace	0.643	0.481	0.546	પાસાનો પો
acetic	0.333	0.420	0.519	એસિટિક
acetylene	0.306	0.469	0.509	એસીટીલીન
ache	0.146	0.760	0.312	દુખાવો
achieve	0.816	0.545	0.843	હાંસલ
achieved	0.896	0.519	0.775	હાંસલ કર્યું
achievement	0.896	0.808	0.759	સિદ્ધિ
aching	0.053	0.880	0.348	પીડાદાયક
achy	0.167	0.840	0.373	પીડા
acid	0.265	0.642	0.566	તેજાબ
acidity	0.156	0.663	0.360	એસિડિટી
acknowledge	0.786	0.370	0.661	સ્વીકારો
acknowledged	0.714	0.443	0.765	સ્વીકાર્યું
acknowledgement	0.819	0.539	0.830	સ્વીકૃતિ
acknowledgment	0.796	0.528	0.777	સ્વીકૃતિ
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ખીલ
acorn	0.448	0.198	0.192	એકોર્ન
acoustic	0.542	0.462	0.536	એકોસ્ટિક
acoustics	0.611	0.330	0.509	ધ્વનિશાસ્ત્ર
acquaint	0.646	0.491	0.639	પરિચિત
acquaintance	0.656	0.290	0.670	ઓળખાણ
acquainted	0.906	0.358	0.632	પરિચિત
acquiescence	0.542	0.480	0.554	સ્વીકૃતિ
acquire	0.833	0.468	0.700	હસ્તગત
